word,current_tier,zipf_frequency,recommended_phase_3,recommended_phase_4
fragile,1,3.86,1,1
arbitrary,1,3.85,1,2
sincere,1,3.84,1,2
synthesis,2,3.84,1,2
discourse,1,3.83,1,2
imply,1,3.83,1,2
inherent,1,3.83,1,2
coordinate,1,3.82,1,2
deliberate,1,3.82,1,2
methodology,1,3.82,1,2
predominantly,1,3.80,1,2
hierarchy,1,3.78,1,2
precedent,1,3.78,1,2
prevalent,1,3.78,1,2
attribute,1,3.77,1,2
fundamentally,1,3.77,1,2
catalyst,1,3.76,1,2
allocation,1,3.74,1,2
expenditure,1,3.74,1,2
initiate,1,3.74,1,2
systemic,1,3.74,1,2
analytical,1,3.73,1,2
contention,1,3.73,1,2
paramount,1,3.73,1,2
undertake,1,3.73,1,2
devastated,1,3.72,1,2
empathy,1,3.72,1,2
feasible,1,3.72,1,2
integrate,2,3.72,1,2
volatile,1,3.72,1,2
directive,1,3.71,1,2
fulfilling,1,3.71,1,2
marginal,1,3.71,1,2
delegate,1,3.70,1,2
validity,1,3.70,1,2
constituency,2,3.69,1,2
contingent,1,3.69,1,2
intriguing,1,3.69,1,2
efficacy,1,3.68,1,2
manifest,1,3.68,1,2
reinforce,1,3.68,1,2
rigorous,1,3.68,1,2
validation,1,3.68,1,2
imminent,1,3.67,1,2
accelerate,1,3.66,1,2
optimization,1,3.66,1,2
provisional,1,3.66,1,2
tangible,1,3.66,1,2
versatile,1,3.66,1,2
formidable,1,3.65,1,2
undermine,1,3.65,1,2
plausible,1,3.64,2,2
coherent,1,3.63,2,2
drastic,1,3.63,2,2
paradox,2,3.63,2,2
assert,1,3.62,2,2
empirical,2,3.62,2,2
exquisite,3,3.61,2,2
hostility,1,3.61,2,2
paradigm,2,3.61,2,2
perpetual,1,3.61,2,2
trajectory,1,3.61,2,2
authenticity,2,3.60,2,2
benchmark,1,3.60,2,2
breathtaking,1,3.60,2,2
nominal,1,3.60,2,2
prolific,1,3.60,2,2
restless,1,3.60,2,2
courageous,1,3.59,2,2
inherently,1,3.59,2,2
overhaul,1,3.59,2,2
ambiguous,1,3.57,2,2
concession,1,3.57,2,2
defective,1,3.57,2,2
mastery,2,3.57,2,2
contend,1,3.56,2,2
endeavor,1,3.56,2,2
detrimental,1,3.55,2,2
intricate,1,3.55,2,2
onboard,1,3.55,2,2
articulate,1,3.54,2,2
mitigate,1,3.54,2,2
reactive,1,3.54,2,2
conversely,1,3.53,2,2
flourish,1,3.53,2,2
simultaneous,1,3.53,2,2
alleviate,1,3.52,2,2
perennial,1,3.51,2,2
speculative,2,3.51,2,2
pivotal,1,3.50,2,2
preventive,1,3.50,2,2
reconcile,1,3.50,2,2
resilient,1,3.50,2,2
pragmatic,1,3.49,2,2
notwithstanding,2,3.48,2,2
speculate,1,3.48,2,2
sublime,3,3.48,2,2
consolidate,1,3.47,2,2
thought-provoking,1,3.47,2,2
concise,1,3.46,2,2
criterion,1,3.46,2,2
diminish,1,3.46,2,2
candid,1,3.45,2,2
discord,2,3.45,2,2
implicit,1,3.45,2,2
liquidity,2,3.45,2,2
nostalgic,1,3.45,2,2
subordinate,2,3.45,2,2
contingency,1,3.44,2,2
fulfillment,2,3.44,2,2
invariably,1,3.44,2,2
proficiency,1,3.43,2,2
sanction,1,3.43,2,2
cultivate,1,3.42,2,2
disparity,1,3.42,2,2
ubiquitous,2,3.42,2,2
contemplate,1,3.41,2,2
diagnose,1,3.41,2,2
emulate,2,3.41,2,2
proactive,1,3.41,2,2
prudent,2,3.41,2,2
substantive,1,3.41,2,2
precaution,1,3.40,2,2
intermittent,1,3.39,2,2
melancholy,3,3.39,2,2
pervasive,1,3.39,2,2
adversity,1,3.38,2,2
elevate,1,3.38,2,2
exemplary,1,3.38,2,2
depreciation,1,3.37,2,2
porous,3,3.37,2,2
pathological,2,3.36,2,2
pertinent,1,3.36,2,2
conjecture,2,3.35,2,2
contradict,1,3.35,2,2
exceedingly,1,3.35,2,2
ponder,1,3.35,2,2
prowess,2,3.35,2,2
benevolent,3,3.34,2,2
erratic,1,3.34,2,2
indispensable,1,3.34,2,2
subpoena,2,3.34,2,2
deficient,1,3.33,2,2
optimize,1,3.33,2,2
pristine,1,3.33,2,2
supervise,1,3.32,2,2
allocate,1,3.31,2,2
bolster,1,3.31,2,2
contentious,1,3.31,2,2
abstraction,2,3.30,2,2
aspiration,2,3.30,2,2
ascertain,1,3.29,2,2
corrective,1,3.29,2,2
discrepancy,1,3.29,2,2
malfunction,1,3.29,2,2
markedly,1,3.29,2,2
sporadic,1,3.29,2,2
ardent,3,3.28,2,2
conduit,1,3.28,2,2
constraint,1,3.28,2,2
solace,3,3.28,2,2
competency,1,3.27,2,2
impetus,1,3.27,2,2
lucid,1,3.27,2,2
precarious,1,3.27,2,2
serene,1,3.27,2,2
nuanced,1,3.26,2,2
commend,1,3.25,2,2
fathom,2,3.25,2,2
inference,1,3.25,2,2
conducive,1,3.24,2,2
luminous,3,3.24,2,2
meticulous,1,3.24,2,2
diligent,1,3.23,2,2
discern,1,3.23,2,2
ingenuity,2,3.23,2,2
reverence,3,3.22,2,2
downtime,1,3.20,2,2
ethereal,3,3.20,2,2
assertive,1,3.19,2,3
augment,1,3.19,2,3
complacent,1,3.19,2,3
resonate,2,3.19,2,3
composure,1,3.18,2,3
concur,1,3.18,2,3
streamline,1,3.18,2,3
throughput,1,3.18,2,3
captivating,3,3.17,2,3
rectify,2,3.17,2,3
alienation,1,3.16,2,3
attrition,1,3.16,2,3
epiphany,2,3.16,2,3
propensity,2,3.16,2,3
circumvent,1,3.15,2,3
deteriorate,1,3.15,2,3
fortitude,3,3.15,2,3
stoic,1,3.15,2,3
refute,1,3.14,2,3
resolute,1,3.12,2,3
salient,2,3.12,2,3
strikingly,1,3.12,2,3
stochastic,2,3.11,2,3
tenacity,3,3.11,2,3
astute,3,3.10,2,3
rebuke,1,3.10,2,3
transcend,3,3.10,2,3
dichotomy,2,3.09,2,3
emphatic,1,3.09,2,3
inert,2,3.09,2,3
nuance,1,3.09,2,3
henceforth,2,3.08,2,3
nascent,1,3.08,2,3
inconsiderate,1,3.04,2,3
intrepid,2,3.04,2,3
reciprocity,2,3.04,2,3
tenacious,1,3.04,2,3
apprehensive,1,3.03,2,3
assent,1,3.03,2,3
disseminate,2,3.03,2,3
erode,1,3.03,2,3
metamorphosis,3,3.03,2,3
preclude,2,3.03,2,3
axiom,2,3.02,2,3
incandescent,3,3.02,2,3
methodical,1,3.02,2,3
tenuous,2,3.02,2,3
ambivalent,1,3.01,2,3
exorbitant,1,3.01,2,3
untenable,2,3.01,2,3
superfluous,2,3.00,2,3
ephemeral,2,2.99,2,3
forerunner,2,2.99,2,3
perceptive,3,2.99,2,3
amicable,1,2.97,2,3
bottleneck,1,2.97,2,3
deduce,2,2.97,2,3
discernible,1,2.97,2,3
elated,1,2.97,2,3
pragmatism,1,2.97,2,3
antithesis,2,2.96,2,3
deference,2,2.96,2,3
inescapable,3,2.96,2,3
juxtaposition,2,2.96,2,3
anomalous,2,2.94,2,3
exasperated,1,2.94,2,3
ratify,2,2.94,2,3
reproach,2,2.94,2,3
synthesize,2,2.94,2,3
tacit,2,2.94,2,3
viscous,3,2.94,2,3
scalable,1,2.93,2,3
tantamount,2,2.93,2,3
abysmal,1,2.92,2,3
categorize,1,2.92,2,3
corroborate,2,2.92,2,3
cursory,2,2.92,2,3
exacerbate,2,2.92,2,3
unequivocal,2,2.91,2,3
facilitator,2,2.90,2,3
fortify,2,2.90,2,3
introspective,3,2.90,2,3
reprimand,1,2.90,2,3
succinct,1,2.90,2,3
amenable,1,2.89,2,3
ascendancy,2,2.88,2,3
conspicuously,1,2.88,2,3
indeterminate,1,2.88,2,3
paradoxical,2,2.88,2,3
subside,1,2.88,2,3
indignant,1,2.86,2,3
iterative,1,2.86,2,3
probabilistic,2,2.86,2,3
commensurate,2,2.83,2,3
diverge,1,2.83,2,3
expedient,1,2.83,2,3
retrofit,1,2.83,2,3
substantiate,2,2.83,2,3
malleable,2,2.82,2,3
modality,2,2.81,2,3
candor,1,2.80,2,3
calibrate,1,2.79,2,3
discernment,2,2.79,2,3
inadvertent,1,2.79,2,3
lethargic,1,2.78,2,3
precipitate,1,2.78,2,3
placate,2,2.77,2,3
zeitgeist,3,2.77,2,3
scrutinize,1,2.76,2,3
erudite,3,2.75,2,3
nebulous,2,2.75,2,3
sanguine,3,2.74,2,3
serendipity,3,2.74,2,3
petulant,3,2.73,3,3
standardize,1,2.72,3,3
cogent,2,2.71,3,3
elucidate,2,2.70,3,3
proliferate,2,2.69,3,3
quibble,2,2.69,3,3
abate,2,2.68,3,3
upshot,1,2.68,3,3
extrapolate,2,2.67,3,3
resplendent,3,2.67,3,3
affable,1,2.66,3,3
disenchanted,1,2.66,3,3
orchestrate,1,2.66,3,3
prescient,2,2.66,3,3
fallacious,2,2.64,3,3
polemic,2,2.64,3,3
coalesce,2,2.63,3,3
supposition,2,2.63,3,3
reticent,2,2.62,3,3
implacable,3,2.61,3,3
magnanimous,3,2.61,3,3
rationalism,2,2.60,3,3
wrangle,1,2.60,3,3
denigrate,2,2.59,3,3
insinuate,1,2.59,3,3
diatribe,2,2.58,3,3
inexorable,3,2.57,3,3
refurbish,1,2.57,3,3
scrupulous,3,2.57,3,3
ameliorate,2,2.56,3,3
delineate,2,2.56,3,3
indefatigable,3,2.55,3,3
recalcitrant,3,2.55,3,3
troubleshoot,1,2.55,3,3
dispassionate,2,2.53,3,3
unmotivated,1,2.53,3,3
accede,2,2.50,3,3
ostensible,2,2.50,3,3
acquiesce,2,2.48,3,3
adjudicate,2,2.47,3,3
perfunctory,2,2.45,3,4
repudiate,2,2.45,3,4
verbose,1,2.44,3,4
schadenfreude,3,2.43,3,4
exhaustively,1,2.42,3,4
ineffable,3,2.41,3,4
invective,2,2.41,3,4
deride,2,2.40,3,4
equanimity,3,2.40,3,4
tenable,2,2.40,3,4
codify,2,2.39,3,4
equivocal,2,2.37,3,4
taciturn,3,2.37,3,4
attenuate,2,2.35,3,4
interdict,3,2.35,3,4
galvanize,2,2.31,3,4
raison d'être,3,2.31,3,4
admonish,2,2.29,3,4
intransigent,3,2.29,3,4
irascible,2,2.29,3,4
promulgate,2,2.29,3,4
indolent,2,2.26,3,4
sonorous,3,2.26,3,4
repercussion,1,2.25,3,4
truncate,1,2.24,3,4
amalgamate,2,2.23,3,4
misanthrope,3,2.20,3,4
decommission,1,2.18,3,4
verisimilitude,3,2.18,3,4
ebullient,3,2.17,3,4
redoubtable,3,2.16,3,4
assiduous,2,2.15,3,4
juxtapose,2,2.15,3,4
obsequious,3,2.14,3,4
simulacrum,3,2.13,3,4
syllogism,2,2.12,3,4
garrulous,2,2.11,3,4
loquacious,3,2.11,3,4
obviate,2,2.11,3,4
diffident,3,2.10,3,4
dulcet,3,2.09,3,4
abrogate,2,2.08,3,4
mellifluous,3,2.08,3,4
phlegmatic,3,2.07,3,4
demarcate,2,2.04,3,4
truculent,3,2.01,3,4
interpolate,2,2.00,3,4
adventitious,2,1.96,3,4
coagulate,3,1.94,3,4
ramification,1,1.94,3,4
supercilious,3,1.94,3,4
apprise,2,1.90,3,4
explicate,2,1.84,3,4
exigency,2,1.83,3,4
sagacious,3,1.80,3,4
stratify,2,1.78,3,4
circumscribe,2,1.75,3,4
perspicacious,3,1.70,3,4
burgeon,2,1.65,3,4
weltanschauung,3,1.65,3,4
obstreperous,3,1.64,3,4
insouciant,3,1.63,3,4
disambiguate,2,1.62,3,4
reprobation,3,1.56,3,4
propitiate,3,1.53,3,4
upbraid,3,1.45,3,4
desiccate,3,1.38,3,4
complaisant,2,1.36,3,4
inefficacious,3,0.00,3,4
