rank,word,zipf_frequency,source,current_tier,current_recommended_phase_3,current_recommended_phase_4,suggested_current_tier,selection_bucket,canonical_phase
102,asset,4.23,current,1,1,1,,,1
103,coalition,4.23,current,1,1,1,,,1
104,controversial,4.23,addition,,,,1,curated_top_band,1
105,subsequently,4.23,current,1,1,1,,,1
106,integrity,4.22,current,1,1,1,,,1
107,legitimate,4.22,current,1,1,1,,,1
108,advocate,4.21,addition,,,,1,curated_top_band,1
109,vulnerable,4.21,current,1,1,1,,,1
110,chronic,4.2,current,1,1,1,,,1
111,implement,4.2,current,1,1,1,,,1
112,solely,4.2,current,1,1,1,,,1
113,insight,4.19,addition,,,,1,curated_top_band,1
114,preserve,4.19,addition,,,,1,curated_top_band,1
115,scenario,4.19,current,1,1,1,,,1
116,sustainable,4.19,current,1,1,1,,,1
117,acknowledge,4.18,current,1,1,1,,,1
118,structural,4.18,addition,,,,1,curated_top_band,1
119,compliance,4.17,current,1,1,1,,,1
120,notion,4.17,addition,,,,1,curated_top_band,1
121,resolve,4.17,addition,,,,1,curated_top_band,1
122,exhibit,4.16,addition,,,,1,curated_top_band,1
123,liability,4.16,current,1,1,1,,,1
124,moreover,4.16,current,1,1,1,,,1
125,retain,4.16,addition,,,,1,curated_top_band,1
126,yield,4.16,current,1,1,1,,,1
127,portfolio,4.15,current,1,1,1,,,1
128,protocol,4.15,current,1,1,1,,,1
129,tackle,4.15,addition,,,,1,curated_top_band,1
130,duration,4.14,current,1,1,1,,,1
131,inflation,4.14,current,1,1,1,,,1
132,justify,4.14,current,1,1,1,,,1
133,provision,4.14,current,1,1,1,,,1
134,precise,4.13,addition,,,,1,curated_top_band,1
135,appreciation,4.12,current,1,1,1,,,1
136,excessive,4.12,current,1,1,1,,,1
137,variable,4.12,addition,,,,1,curated_top_band,1
138,canon,4.11,current,2,1,1,,,1
139,cognitive,4.11,current,1,1,1,,,1
140,convert,4.11,addition,,,,1,curated_breadth_band,1
141,harmony,4.11,current,1,1,1,,,1
142,consensus,4.1,current,1,1,1,,,1
143,innovative,4.1,current,1,1,1,,,1
144,jurisdiction,4.1,current,1,1,1,,,1
145,monetary,4.1,current,1,1,1,,,1
146,governance,4.09,current,1,1,1,,,1
147,inevitable,4.08,current,1,1,1,,,1
148,merit,4.08,current,1,1,1,,,1
149,predict,4.08,addition,,,,1,curated_top_band,1
150,assess,4.07,addition,,,,1,curated_top_band,1
151,ethical,4.07,addition,,,,1,curated_top_band,1
152,matrix,4.07,current,2,1,1,,,1
153,notable,4.07,addition,,,,1,curated_top_band,1
154,deficit,4.06,current,1,1,1,,,1
155,elaborate,4.06,current,1,1,1,,,1
156,rational,4.06,addition,,,,1,curated_breadth_band,1
157,tolerance,4.06,current,1,1,1,,,1
158,exceptional,4.05,current,1,1,1,,,1
159,interact,4.05,addition,,,,1,curated_breadth_band,1
160,orientation,4.05,current,1,1,1,,,1
161,audit,4.04,current,1,1,1,,,1
162,authentic,4.04,current,1,1,1,,,1
163,enhance,4.04,current,1,1,1,,,1
164,magnificent,4.04,current,1,1,1,,,1
165,transform,4.04,current,1,1,1,,,1
166,cease,4.03,current,1,1,1,,,1
167,accordingly,4.02,current,1,1,1,,,1
168,algorithm,4.02,current,2,1,1,,,1
169,dimension,4.02,current,1,1,1,,,1
170,gauge,4.02,addition,,,,1,curated_breadth_band,1
171,evaluate,4.01,addition,,,,1,curated_top_band,1
172,notably,4.01,current,1,1,1,,,1
173,theoretical,4.01,addition,,,,1,curated_breadth_band,1
174,transparent,4.01,addition,,,,1,curated_top_band,1
175,acute,4,current,1,1,1,,,1
176,interim,4,current,1,1,1,,,1
177,magnitude,4,current,1,1,1,,,1
178,evident,3.99,addition,,,,2,curated_top_band,1
179,facilitate,3.99,current,1,1,1,,,1
180,offset,3.99,addition,,,,2,curated_mid_band,1
181,adapt,3.98,addition,,,,2,curated_top_band,1
182,colleague,3.98,addition,,,,2,curated_mid_band,1
183,compelling,3.98,current,1,1,1,,,1
184,construct,3.98,addition,,,,2,curated_top_band,1
185,dense,3.98,addition,,,,2,curated_mid_band,1
186,doctrine,3.98,addition,,,,2,curated_top_band,1
187,expose,3.98,addition,,,,2,curated_top_band,1
188,compatible,3.97,addition,,,,2,curated_mid_band,1
189,configuration,3.97,current,1,1,1,,,1
190,grasp,3.97,addition,,,,2,curated_mid_band,1
191,incentive,3.97,current,1,1,1,,,1
192,inclusive,3.97,addition,,,,2,curated_mid_band,1
193,mandate,3.97,current,1,1,1,,,1
194,enforce,3.96,addition,,,,2,curated_mid_band,1
195,explicit,3.96,current,1,1,1,,,1
196,integral,3.96,addition,,,,2,curated_top_band,1
197,prediction,3.96,addition,,,,2,curated_mid_band,1
198,tendency,3.96,addition,,,,2,curated_mid_band,1
199,viable,3.96,current,1,1,1,,,1
200,aggregate,3.94,addition,,,,2,curated_top_band,1
201,consequently,3.94,current,1,1,1,,,1
202,profound,3.94,current,1,1,1,,,1
203,robust,3.94,current,1,1,1,,,1
204,mentor,3.93,current,1,1,1,,,1
205,sustain,3.93,addition,,,,2,curated_top_band,1
206,indicator,3.92,addition,,,,2,curated_mid_band,1
207,inequality,3.92,addition,,,,2,curated_mid_band,1
208,outline,3.92,current,1,1,1,,,1
209,accountability,3.91,current,1,1,1,,,1
210,albeit,3.91,current,1,1,1,,,1
211,deployment,3.91,current,1,1,1,,,1
212,likelihood,3.91,current,1,1,1,,,1
213,shortage,3.91,addition,,,,2,curated_mid_band,1
214,accountable,3.9,addition,,,,2,curated_breadth_band,1
215,arguably,3.9,current,1,1,1,,,1
216,coordination,3.9,current,2,1,1,,,1
217,persistent,3.9,addition,,,,2,curated_mid_band,1
218,emerge,3.89,current,1,1,1,,,1
219,landmark,3.89,addition,,,,2,curated_mid_band,1
220,consume,3.88,addition,,,,2,curated_mid_band,1
221,immense,3.88,current,1,1,1,,,1
222,leverage,3.88,current,1,1,1,,,1
223,selective,3.88,addition,,,,2,curated_mid_band,1
224,verify,3.88,current,1,1,1,,,1
225,consult,3.87,addition,,,,2,curated_mid_band,1
226,hypothesis,3.87,current,1,1,1,,,1
227,informal,3.87,addition,,,,2,curated_mid_band,1
228,repeal,3.87,current,2,1,1,,,1
229,autonomy,3.86,current,1,1,1,,,1
230,commodity,3.86,current,1,1,1,,,1
231,cooperative,3.86,addition,,,,2,curated_mid_band,1
232,correlation,3.86,current,1,1,1,,,1
233,fragile,3.86,current,1,1,1,,,1
234,logistics,3.86,addition,,,,2,curated_mid_band,1
235,symbolic,3.86,addition,,,,2,curated_mid_band,1
236,arbitrary,3.85,current,1,1,2,,,2
237,autonomous,3.85,addition,,,,2,curated_mid_band,2
238,clarify,3.85,addition,,,,2,curated_mid_band,2
239,desirable,3.85,addition,,,,2,curated_mid_band,2
240,incorporate,3.85,addition,,,,2,curated_top_band,2
241,obscure,3.85,addition,,,,2,curated_mid_band,2
242,disclose,3.84,addition,,,,2,curated_mid_band,2
243,sincere,3.84,current,1,1,2,,,2
244,synthesis,3.84,current,2,1,2,,,2
245,convey,3.83,addition,,,,2,curated_mid_band,2
246,discourse,3.83,current,1,1,2,,,2
247,imply,3.83,current,1,1,2,,,2
248,inherent,3.83,current,1,1,2,,,2
249,statute,3.83,addition,,,,2,curated_mid_band,2
250,coordinate,3.82,current,1,1,2,,,2
251,deliberate,3.82,current,1,1,2,,,2
252,methodology,3.82,current,1,1,2,,,2
253,persuade,3.82,addition,,,,2,curated_mid_band,2
254,revision,3.82,addition,,,,2,curated_mid_band,2
255,interpret,3.81,addition,,,,2,curated_breadth_band,2
256,confront,3.8,addition,,,,2,curated_breadth_band,2
257,decisive,3.8,addition,,,,2,curated_mid_band,2
258,minimize,3.8,addition,,,,2,curated_mid_band,2
259,predominantly,3.8,current,1,1,2,,,2
260,hierarchy,3.78,current,1,1,2,,,2
261,precedent,3.78,current,1,1,2,,,2
262,prevalent,3.78,current,1,1,2,,,2
263,specify,3.78,addition,,,,2,curated_breadth_band,2
264,attribute,3.77,current,1,1,2,,,2
265,credible,3.77,addition,,,,2,curated_top_band,2
266,fundamentally,3.77,current,1,1,2,,,2
267,catalyst,3.76,current,1,1,2,,,2
268,allocation,3.74,current,1,1,2,,,2
269,expenditure,3.74,current,1,1,2,,,2
270,initiate,3.74,current,1,1,2,,,2
271,systemic,3.74,current,1,1,2,,,2
272,analytical,3.73,current,1,1,2,,,2
273,anticipate,3.73,addition,,,,2,curated_mid_band,2
274,contention,3.73,current,1,1,2,,,2
275,eventual,3.73,addition,,,,2,curated_mid_band,2
276,paramount,3.73,current,1,1,2,,,2
277,quantitative,3.73,addition,,,,2,curated_top_band,2
278,undertake,3.73,current,1,1,2,,,2
279,devastated,3.72,current,1,1,2,,,2
280,empathy,3.72,current,1,1,2,,,2
281,feasible,3.72,current,1,1,2,,,2
282,integrate,3.72,current,2,1,2,,,2
283,perceive,3.72,addition,,,,2,curated_mid_band,2
284,volatile,3.72,current,1,1,2,,,2
285,directive,3.71,current,1,1,2,,,2
286,friction,3.71,addition,,,,2,curated_mid_band,2
287,fulfilling,3.71,current,1,1,2,,,2
288,illustrate,3.71,addition,,,,2,curated_top_band,2
289,marginal,3.71,current,1,1,2,,,2
290,delegate,3.7,current,1,1,2,,,2
291,validity,3.7,current,1,1,2,,,2
292,constituency,3.69,current,2,1,2,,,2
293,contingent,3.69,current,1,1,2,,,2
294,intriguing,3.69,current,1,1,2,,,2
295,durable,3.68,addition,,,,2,curated_mid_band,2
296,efficacy,3.68,current,1,1,2,,,2
297,manifest,3.68,current,1,1,2,,,2
298,reinforce,3.68,current,1,1,2,,,2
299,rigorous,3.68,current,1,1,2,,,2
300,validation,3.68,current,1,1,2,,,2
301,govern,3.67,addition,,,,2,curated_mid_band,2
302,imminent,3.67,current,1,1,2,,,2
303,stimulate,3.67,addition,,,,2,curated_mid_band,2
304,accelerate,3.66,current,1,1,2,,,2
305,earnest,3.66,addition,,,,2,curated_mid_band,2
306,optimization,3.66,current,1,1,2,,,2
307,provisional,3.66,current,1,1,2,,,2
308,tangible,3.66,current,1,1,2,,,2
309,versatile,3.66,current,1,1,2,,,2
310,formidable,3.65,current,1,1,2,,,2
311,undermine,3.65,current,1,1,2,,,2
312,plausible,3.64,current,1,2,2,,,2
313,coherent,3.63,current,1,2,2,,,2
314,drastic,3.63,current,1,2,2,,,2
315,endorse,3.63,addition,,,,2,curated_mid_band,2
316,inspect,3.63,addition,,,,2,curated_mid_band,2
317,maximize,3.63,addition,,,,2,curated_mid_band,2
318,paradox,3.63,current,2,2,2,,,2
319,assert,3.62,current,1,2,2,,,2
320,differentiate,3.62,addition,,,,2,curated_mid_band,2
321,empirical,3.62,current,2,2,2,,,2
322,exquisite,3.61,current,3,2,2,,,2
323,hostility,3.61,current,1,2,2,,,2
324,paradigm,3.61,current,2,2,2,,,2
325,perpetual,3.61,current,1,2,2,,,2
326,trajectory,3.61,current,1,2,2,,,2
327,attain,3.6,addition,,,,2,curated_mid_band,2
328,authenticity,3.6,current,2,2,2,,,2
329,benchmark,3.6,current,1,2,2,,,2
330,breathtaking,3.6,current,1,2,2,,,2
331,isolate,3.6,addition,,,,2,curated_mid_band,2
332,nominal,3.6,current,1,2,2,,,2
333,prolific,3.6,current,1,2,2,,,2
334,restless,3.6,current,1,2,2,,,2
335,courageous,3.59,current,1,2,2,,,2
336,disrupt,3.59,addition,,,,3,curated_mid_band,2
337,inherently,3.59,current,1,2,2,,,2
338,overhaul,3.59,current,1,2,2,,,2
339,ambiguous,3.57,current,1,2,2,,,2
340,concession,3.57,current,1,2,2,,,2
341,defective,3.57,current,1,2,2,,,2
342,mastery,3.57,current,2,2,2,,,2
343,parameter,3.57,addition,,,,3,curated_mid_band,2
344,contend,3.56,current,1,2,2,,,2
345,discrete,3.56,addition,,,,3,curated_mid_band,2
346,endeavor,3.56,current,1,2,2,,,2
347,amend,3.55,addition,,,,3,curated_mid_band,2
348,detrimental,3.55,current,1,2,2,,,2
349,intricate,3.55,current,1,2,2,,,2
350,onboard,3.55,current,1,2,2,,,2
351,prevail,3.55,addition,,,,3,curated_mid_band,2
352,articulate,3.54,current,1,2,2,,,2
353,mitigate,3.54,current,1,2,2,,,2
354,reactive,3.54,current,1,2,2,,,2
355,conversely,3.53,current,1,2,2,,,2
356,flourish,3.53,current,1,2,2,,,2
357,persist,3.53,addition,,,,3,curated_mid_band,2
358,simultaneous,3.53,current,1,2,2,,,2
359,alleviate,3.52,current,1,2,2,,,2
360,collaborate,3.51,addition,,,,3,curated_mid_band,2
361,dedicate,3.51,addition,,,,3,curated_mid_band,2
362,derive,3.51,addition,,,,3,curated_mid_band,2
363,perennial,3.51,current,1,2,2,,,2
364,speculative,3.51,current,2,2,2,,,2
365,correspond,3.5,addition,,,,3,curated_mid_band,2
366,pivotal,3.5,current,1,2,2,,,2
367,preventive,3.5,current,1,2,2,,,2
368,provoke,3.5,addition,,,,3,curated_mid_band,2
369,reconcile,3.5,current,1,2,2,,,2
370,resilient,3.5,current,1,2,2,,,2
371,pragmatic,3.49,current,1,2,2,,,2
372,concede,3.48,addition,,,,3,curated_mid_band,2
373,notwithstanding,3.48,current,2,2,2,,,2
374,speculate,3.48,current,1,2,2,,,2
375,sublime,3.48,current,3,2,2,,,2
376,consolidate,3.47,current,1,2,2,,,2
377,intrinsic,3.47,addition,,,,3,curated_mid_band,2
378,thought-provoking,3.47,current,1,2,2,,,2
379,concise,3.46,current,1,2,2,,,2
380,criterion,3.46,current,1,2,2,,,2
381,diminish,3.46,current,1,2,2,,,2
382,stabilize,3.46,addition,,,,3,curated_mid_band,2
383,candid,3.45,current,1,2,2,,,2
384,discord,3.45,current,2,2,2,,,2
385,implicit,3.45,current,1,2,2,,,2
386,liquidity,3.45,current,2,2,2,,,2
387,nostalgic,3.45,current,1,2,2,,,2
388,qualitative,3.45,addition,,,,3,curated_mid_band,2
389,subordinate,3.45,current,2,2,2,,,2
390,tentative,3.45,addition,,,,3,curated_mid_band,2
391,contingency,3.44,current,1,2,2,,,2
392,fulfillment,3.44,current,2,2,2,,,2
393,invariably,3.44,current,1,2,2,,,2
394,orient,3.44,addition,,,,3,curated_mid_band,2
395,simulate,3.44,addition,,,,3,curated_mid_band,2
396,proficiency,3.43,current,1,2,2,,,2
397,sanction,3.43,current,1,2,2,,,2
398,cultivate,3.42,current,1,2,2,,,2
399,disparity,3.42,current,1,2,2,,,2
400,ubiquitous,3.42,current,2,2,2,,,2
401,contemplate,3.41,current,1,2,2,,,2
402,diagnose,3.41,current,1,2,2,,,2
403,emulate,3.41,current,2,2,2,,,2
404,proactive,3.41,current,1,2,2,,,2
405,prudent,3.41,current,2,2,2,,,2
406,substantive,3.41,current,1,2,2,,,2
407,precaution,3.4,current,1,2,2,,,2
408,intermittent,3.39,current,1,2,2,,,2
409,melancholy,3.39,current,3,2,2,,,2
410,pervasive,3.39,current,1,2,2,,,2
411,adversity,3.38,current,1,2,2,,,2
412,elevate,3.38,current,1,2,2,,,2
413,exemplary,3.38,current,1,2,2,,,2
414,ambiguity,3.37,addition,,,,3,curated_breadth_band,2
415,conserve,3.37,addition,,,,3,curated_mid_band,2
416,depreciation,3.37,current,1,2,2,,,2
417,porous,3.37,current,3,2,2,,,2
418,pathological,3.36,current,2,2,2,,,2
419,pertinent,3.36,current,1,2,2,,,2
420,conjecture,3.35,current,2,2,2,,,2
421,contradict,3.35,current,1,2,2,,,2
422,escalate,3.35,addition,,,,3,curated_mid_band,2
423,exceedingly,3.35,current,1,2,2,,,2
424,ponder,3.35,current,1,2,2,,,2
425,prowess,3.35,current,2,2,2,,,2
426,benevolent,3.34,current,3,2,2,,,2
427,erratic,3.34,current,1,2,2,,,2
428,indispensable,3.34,current,1,2,2,,,2
429,subpoena,3.34,current,2,2,2,,,2
430,deficient,3.33,current,1,2,2,,,2
431,holistic,3.33,addition,,,,3,curated_mid_band,2
432,invoke,3.33,addition,,,,3,curated_mid_band,2
433,optimize,3.33,current,1,2,2,,,2
434,pristine,3.33,current,1,2,2,,,2
435,supervise,3.32,current,1,2,2,,,2
436,allocate,3.31,current,1,2,2,,,2
437,bolster,3.31,current,1,2,2,,,2
438,contentious,3.31,current,1,2,2,,,2
439,prioritize,3.31,addition,,,,3,curated_mid_band,2
440,abstraction,3.3,current,2,2,2,,,2
441,aspiration,3.3,current,2,2,2,,,2
442,enrich,3.3,addition,,,,3,curated_mid_band,2
443,reassure,3.3,addition,,,,3,curated_mid_band,2
444,ascertain,3.29,current,1,2,2,,,2
445,corrective,3.29,current,1,2,2,,,2
446,discrepancy,3.29,current,1,2,2,,,2
447,malfunction,3.29,current,1,2,2,,,2
448,markedly,3.29,current,1,2,2,,,2
449,sporadic,3.29,current,1,2,2,,,2
450,ardent,3.28,current,3,2,2,,,2
451,conduit,3.28,current,1,2,2,,,2
452,constraint,3.28,current,1,2,2,,,2
453,refine,3.28,addition,,,,3,curated_mid_band,2
454,solace,3.28,current,3,2,2,,,2
455,competency,3.27,current,1,2,2,,,2
456,impetus,3.27,current,1,2,2,,,2
457,lucid,3.27,current,1,2,2,,,2
458,precarious,3.27,current,1,2,2,,,2
459,serene,3.27,current,1,2,2,,,2
460,nuanced,3.26,current,1,2,2,,,2
461,commend,3.25,current,1,2,2,,,2
462,fathom,3.25,current,2,2,2,,,2
463,inference,3.25,current,1,2,2,,,2
464,conducive,3.24,current,1,2,2,,,2
465,luminous,3.24,current,3,2,2,,,2
466,meticulous,3.24,current,1,2,2,,,2
467,converge,3.23,addition,,,,3,curated_mid_band,2
468,diligent,3.23,current,1,2,2,,,2
469,discern,3.23,current,1,2,2,,,2
470,formulate,3.23,addition,,,,3,curated_mid_band,2
471,ingenuity,3.23,current,2,2,2,,,2
472,reverence,3.22,current,3,2,2,,,2
473,defer,3.2,addition,,,,3,curated_mid_band,2
474,downtime,3.2,current,1,2,2,,,2
475,ethereal,3.2,current,3,2,2,,,2
476,assertive,3.19,current,1,2,3,,,3
477,augment,3.19,current,1,2,3,,,3
478,complacent,3.19,current,1,2,3,,,3
479,devise,3.19,addition,,,,3,curated_mid_band,3
480,resonate,3.19,current,2,2,3,,,3
481,composure,3.18,current,1,2,3,,,3
482,concur,3.18,current,1,2,3,,,3
483,streamline,3.18,current,1,2,3,,,3
484,throughput,3.18,current,1,2,3,,,3
485,captivating,3.17,current,3,2,3,,,3
486,rectify,3.17,current,2,2,3,,,3
487,alienation,3.16,current,1,2,3,,,3
488,attrition,3.16,current,1,2,3,,,3
489,epiphany,3.16,current,2,2,3,,,3
490,infer,3.16,addition,,,,3,curated_mid_band,3
491,propensity,3.16,current,2,2,3,,,3
492,circumvent,3.15,current,1,2,3,,,3
493,deteriorate,3.15,current,1,2,3,,,3
494,fortitude,3.15,current,3,2,3,,,3
495,stoic,3.15,current,1,2,3,,,3
496,refute,3.14,current,1,2,3,,,3
497,mediate,3.13,addition,,,,3,curated_mid_band,3
498,resolute,3.12,current,1,2,3,,,3
499,salient,3.12,current,2,2,3,,,3
500,strikingly,3.12,current,1,2,3,,,3
501,stochastic,3.11,current,2,2,3,,,3
502,tenacity,3.11,current,3,2,3,,,3
503,astute,3.1,current,3,2,3,,,3
504,rebuke,3.1,current,1,2,3,,,3
505,transcend,3.1,current,3,2,3,,,3
506,dichotomy,3.09,current,2,2,3,,,3
507,emphatic,3.09,current,1,2,3,,,3
508,inert,3.09,current,2,2,3,,,3
509,nuance,3.09,current,1,2,3,,,3
510,henceforth,3.08,current,2,2,3,,,3
511,nascent,3.08,current,1,2,3,,,3
512,inconsiderate,3.04,current,1,2,3,,,3
513,intrepid,3.04,current,2,2,3,,,3
514,reciprocity,3.04,current,2,2,3,,,3
515,tenacious,3.04,current,1,2,3,,,3
516,apprehensive,3.03,current,1,2,3,,,3
517,assent,3.03,current,1,2,3,,,3
518,disseminate,3.03,current,2,2,3,,,3
519,erode,3.03,current,1,2,3,,,3
520,metamorphosis,3.03,current,3,2,3,,,3
521,preclude,3.03,current,2,2,3,,,3
522,axiom,3.02,current,2,2,3,,,3
523,incandescent,3.02,current,3,2,3,,,3
524,methodical,3.02,current,1,2,3,,,3
525,tenuous,3.02,current,2,2,3,,,3
526,ambivalent,3.01,current,1,2,3,,,3
527,exorbitant,3.01,current,1,2,3,,,3
528,untenable,3.01,current,2,2,3,,,3
529,superfluous,3,current,2,2,3,,,3
530,ephemeral,2.99,current,2,2,3,,,3
531,forerunner,2.99,current,2,2,3,,,3
532,perceptive,2.99,current,3,2,3,,,3
533,amicable,2.97,current,1,2,3,,,3
534,bottleneck,2.97,current,1,2,3,,,3
535,deduce,2.97,current,2,2,3,,,3
536,discernible,2.97,current,1,2,3,,,3
537,elated,2.97,current,1,2,3,,,3
538,pragmatism,2.97,current,1,2,3,,,3
539,antithesis,2.96,current,2,2,3,,,3
540,deference,2.96,current,2,2,3,,,3
541,inescapable,2.96,current,3,2,3,,,3
542,juxtaposition,2.96,current,2,2,3,,,3
543,anomalous,2.94,current,2,2,3,,,3
544,exasperated,2.94,current,1,2,3,,,3
545,ratify,2.94,current,2,2,3,,,3
546,reproach,2.94,current,2,2,3,,,3
547,synthesize,2.94,current,2,2,3,,,3
548,tacit,2.94,current,2,2,3,,,3
549,viscous,2.94,current,3,2,3,,,3
550,scalable,2.93,current,1,2,3,,,3
551,tantamount,2.93,current,2,2,3,,,3
552,abysmal,2.92,current,1,2,3,,,3
553,categorize,2.92,current,1,2,3,,,3
554,corroborate,2.92,current,2,2,3,,,3
555,cursory,2.92,current,2,2,3,,,3
556,exacerbate,2.92,current,2,2,3,,,3
557,unequivocal,2.91,current,2,2,3,,,3
558,facilitator,2.9,current,2,2,3,,,3
559,fortify,2.9,current,2,2,3,,,3
560,introspective,2.9,current,3,2,3,,,3
561,reprimand,2.9,current,1,2,3,,,3
562,succinct,2.9,current,1,2,3,,,3
563,amenable,2.89,current,1,2,3,,,3
564,ascendancy,2.88,current,2,2,3,,,3
565,conspicuously,2.88,current,1,2,3,,,3
566,indeterminate,2.88,current,1,2,3,,,3
567,paradoxical,2.88,current,2,2,3,,,3
568,subside,2.88,current,1,2,3,,,3
569,indignant,2.86,current,1,2,3,,,3
570,iterative,2.86,current,1,2,3,,,3
571,probabilistic,2.86,current,2,2,3,,,3
572,commensurate,2.83,current,2,2,3,,,3
573,diverge,2.83,current,1,2,3,,,3
574,expedient,2.83,current,1,2,3,,,3
575,retrofit,2.83,current,1,2,3,,,3
576,substantiate,2.83,current,2,2,3,,,3
577,malleable,2.82,current,2,2,3,,,3
578,modality,2.81,current,2,2,3,,,3
579,candor,2.8,current,1,2,3,,,3
580,calibrate,2.79,current,1,2,3,,,3
581,discernment,2.79,current,2,2,3,,,3
582,inadvertent,2.79,current,1,2,3,,,3
583,lethargic,2.78,current,1,2,3,,,3
